rank,player_id,position,player_name,team,age,player_url
54,9993594,WR,Jonathan Mingo,CAR,22,https://dynastyleaguefootball.com/player/9993594/Jonathan_Mingo
55,9993350,WR,Josh Downs,IND,21,https://dynastyleaguefootball.com/player/9993350/Josh_Downs
56,9992757,WR,Rondale Moore,ARI,23,https://dynastyleaguefootball.com/player/9992757/Rondale_Moore
57,9993006,WR,Jakobi Meyers,LV,26,https://dynastyleaguefootball.com/player/9993006/Jakobi_Meyers
58,9992313,WR,Michael Gallup,DAL,27,https://dynastyleaguefootball.com/player/9992313/Michael_Gallup
59,9993965,WR,Alec Pierce,IND,23,https://dynastyleaguefootball.com/player/9993965/Alec_Pierce
60,9992328,WR,Chase Claypool,CHI,25,https://dynastyleaguefootball.com/player/9992328/Chase_Claypool
61,9993619,WR,Rashee Rice,KC,22,https://dynastyleaguefootball.com/player/9993619/Rashee_Rice
62,17986,WR,Tyler Boyd,CIN,28,https://dynastyleaguefootball.com/player/17986/Tyler_Boyd
63,9992871,WR,Nico Collins,HOU,24,https://dynastyleaguefootball.com/player/9992871/Nico_Collins
64,9993612,WR,Romeo Doubs,GB,23,https://dynastyleaguefootball.com/player/9993612/Romeo_Doubs
65,9993608,WR,Josh Palmer,LAC,23,https://dynastyleaguefootball.com/player/9993608/Josh_Palmer
66,9993194,WR,Jayden Reed,GB,23,https://dynastyleaguefootball.com/player/9993194/Jayden_Reed
67,9992294,WR,Donovan Peoples-Jones,CLE,24,https://dynastyleaguefootball.com/player/9992294/Donovan_Peoples-Jones
68,9994013,WR,Cedric Tillman,CLE,23,https://dynastyleaguefootball.com/player/9994013/Cedric_Tillman
69,9992303,WR,Allen Lazard,NYJ,27,https://dynastyleaguefootball.com/player/9992303/Allen_Lazard
70,17960,WR,Michael Thomas,NO,30,https://dynastyleaguefootball.com/player/17960/Michael_Thomas
71,9993530,WR,John Metchie,HOU,23,https://dynastyleaguefootball.com/player/9993530/John_Metchie
72,9992333,WR,DJ Chark,CAR,26,https://dynastyleaguefootball.com/player/9992333/DJ_Chark
73,9990986,WR,Curtis Samuel,WAS,26,https://dynastyleaguefootball.com/player/9990986/Curtis_Samuel
74,9993572,WR,Jalin Hyatt,NYG,21,https://dynastyleaguefootball.com/player/9993572/Jalin_Hyatt
75,15534,WR,Adam Thielen,CAR,32,https://dynastyleaguefootball.com/player/15534/Adam_Thielen
76,9993307,WR,Tyquan Thornton,NE,22,https://dynastyleaguefootball.com/player/9993307/Tyquan_Thornton
77,9993260,WR,Van Jefferson,LAR,27,https://dynastyleaguefootball.com/player/9993260/Van_Jefferson
78,9991377,WR,Zay Jones,JAC,28,https://dynastyleaguefootball.com/player/9991377/Zay_Jones
79,9992520,WR,Terrace Marshall,CAR,23,https://dynastyleaguefootball.com/player/9992520/Terrace_Marshall
80,9993493,WR,KJ Osborn,MIN,26,https://dynastyleaguefootball.com/player/9993493/KJ_Osborn
81,9900151,WR,Corey Davis,NYJ,28,https://dynastyleaguefootball.com/player/9900151/Corey_Davis
82,9992461,WR,Hunter Renfrow,LV,27,https://dynastyleaguefootball.com/player/9992461/Hunter_Renfrow
83,9993272,WR,Khalil Shakir,BUF,23,https://dynastyleaguefootball.com/player/9993272/Khalil_Shakir
84,9993098,WR,Mecole Hardman,NYJ,25,https://dynastyleaguefootball.com/player/9993098/Mecole_Hardman
85,9993193,WR,Isaiah Hodgins,NYG,24,https://dynastyleaguefootball.com/player/9993193/Isaiah_Hodgins
86,9992393,WR,Parris Campbell,NYG,26,https://dynastyleaguefootball.com/player/9992393/Parris_Campbell
87,9994212,WR,Tank Dell,HOU,23,https://dynastyleaguefootball.com/player/9994212/Tank_Dell
88,16389,WR,Odell Beckham,BAL,30,https://dynastyleaguefootball.com/player/16389/Odell_Beckham
89,9993963,WR,Jalen Tolbert,DAL,24,https://dynastyleaguefootball.com/player/9993963/Jalen_Tolbert
90,9994254,WR,Rashid Shaheed,NO,24,https://dynastyleaguefootball.com/player/9994254/Rashid_Shaheed
91,16263,WR,Allen Robinson,PIT,29,https://dynastyleaguefootball.com/player/16263/Allen_Robinson
92,9992535,WR,Marquez Valdes-Scantling,KC,28,https://dynastyleaguefootball.com/player/9992535/Marquez_Valdes-Scantling
93,9992816,WR,Darius Slayton,NYG,26,https://dynastyleaguefootball.com/player/9992816/Darius_Slayton
94,9992874,WR,David Bell,CLE,22,https://dynastyleaguefootball.com/player/9992874/David_Bell
95,16775,WR,DeVante Parker,NE,30,https://dynastyleaguefootball.com/player/16775/DeVante_Parker
96,14871,WR,Robert Woods,HOU,31,https://dynastyleaguefootball.com/player/14871/Robert_Woods
97,9994315,WR,Michael Wilson,ARI,23,https://dynastyleaguefootball.com/player/9994315/Michael_Wilson
98,9994085,WR,Puka Nacua,LAR,23,https://dynastyleaguefootball.com/player/9994085/Puka_Nacua
99,9994301,WR,Tyler Scott,CHI,21,https://dynastyleaguefootball.com/player/9994301/Tyler_Scott
100,9992762,WR,Laviska Shenault,CAR,24,https://dynastyleaguefootball.com/player/9992762/Laviska_Shenault
101,9993336,WR,Kayshon Boutte,NE,21,https://dynastyleaguefootball.com/player/9993336/Kayshon_Boutte
102,9992679,WR,Russell Gage,TB,27,https://dynastyleaguefootball.com/player/9992679/Russell_Gage
103,9992355,WR,Devin Duvernay,BAL,25,https://dynastyleaguefootball.com/player/9992355/Devin_Duvernay
104,9992140,WR,Tim Patrick,DEN,29,https://dynastyleaguefootball.com/player/9992140/Tim_Patrick
105,9993549,WR,Kyle Philips,TEN,24,https://dynastyleaguefootball.com/player/9993549/Kyle_Philips
106,9994265,WR,Charlie Jones,CIN,24,https://dynastyleaguefootball.com/player/9994265/Charlie_Jones
107,9993320,WR,Dyami Brown,WAS,23,https://dynastyleaguefootball.com/player/9993320/Dyami_Brown
108,13870,WR,Marvin Jones,DET,33,https://dynastyleaguefootball.com/player/13870/Marvin_Jones
109,9992299,WR,Richie James,KC,27,https://dynastyleaguefootball.com/player/9992299/Richie_James
110,9994025,WR,Danny Gray,SF,24,https://dynastyleaguefootball.com/player/9994025/Danny_Gray
111,9993308,WR,Tutu Atwell,LAR,23,https://dynastyleaguefootball.com/player/9993308/Tutu_Atwell
112,16020,WR,Jarvis Landry,FA,30,https://dynastyleaguefootball.com/player/16020/Jarvis_Landry
113,9994335,WR,Tre Tucker,LV,22,https://dynastyleaguefootball.com/player/9994335/Tre_Tucker
114,9993966,WR,Calvin Austin,PIT,24,https://dynastyleaguefootball.com/player/9993966/Calvin_Austin
115,9992298,WR,Jauan Jennings,SF,26,https://dynastyleaguefootball.com/player/9992298/Jauan_Jennings
116,9992699,WR,Marquez Callaway,DEN,25,https://dynastyleaguefootball.com/player/9992699/Marquez_Callaway
117,9992524,WR,Justyn Ross,KC,23,https://dynastyleaguefootball.com/player/9992524/Justyn_Ross
118,9994386,WR,Derius Davis,LAC,22,https://dynastyleaguefootball.com/player/9994386/Derius_Davis
119,9991885,WR,Isaiah McKenzie,IND,28,https://dynastyleaguefootball.com/player/9991885/Isaiah_McKenzie
120,9992866,WR,KJ Hamler,DEN,24,https://dynastyleaguefootball.com/player/9992866/KJ_Hamler
121,17961,WR,Sterling Shepard,NYG,30,https://dynastyleaguefootball.com/player/17961/Sterling_Shepard
122,9992518,WR,Justin Shorter,BUF,23,https://dynastyleaguefootball.com/player/9992518/Justin_Shorter
123,9991876,WR,Mack Hollins,ATL,29,https://dynastyleaguefootball.com/player/9991876/Mack_Hollins
124,9994209,WR,AT Perry,NO,23,https://dynastyleaguefootball.com/player/9994209/AT_Perry
