player_id,player_name,player_url,position,year,team,games_played,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9991378,Jamaal Williams,https://dynastyleaguefootball.com/player/9991378/Jamaal_Williams,RB,2021,DET,12,293,37.6,140,558,3,27,25,148,0,0
9991378,Jamaal Williams,https://dynastyleaguefootball.com/player/9991378/Jamaal_Williams,RB,2022,DET,16,430,39.8,246,994,15,16,12,73,0,2
9993178,Michael Carter,https://dynastyleaguefootball.com/player/9993178/Michael_Carter,RB,2021,NYJ,13,425,50.1,138,620,4,53,37,325,0,1
9993178,Michael Carter,https://dynastyleaguefootball.com/player/9993178/Michael_Carter,RB,2022,NYJ,15,478,49.1,111,398,3,51,39,287,0,1
9992459,Devin Singletary,https://dynastyleaguefootball.com/player/9992459/Devin_Singletary,RB,2019,BUF,12,545,67.5,151,775,2,42,29,194,2,1
9992459,Devin Singletary,https://dynastyleaguefootball.com/player/9992459/Devin_Singletary,RB,2020,BUF,16,621,57.1,156,686,2,52,38,269,0,1
9992459,Devin Singletary,https://dynastyleaguefootball.com/player/9992459/Devin_Singletary,RB,2021,BUF,16,656,58.6,169,782,6,48,38,204,0,0
9992459,Devin Singletary,https://dynastyleaguefootball.com/player/9992459/Devin_Singletary,RB,2022,BUF,15,685,66.8,170,790,5,51,37,277,1,2
9993616,Tyler Allgeier,https://dynastyleaguefootball.com/player/9993616/Tyler_Allgeier,RB,2022,ATL,15,450,49.6,186,900,3,17,16,139,1,0
9993177,Clyde Edwards-Helaire,https://dynastyleaguefootball.com/player/9993177/Clyde_Edwards-Helaire,RB,2020,KC,13,542,59.0,181,803,4,55,36,297,1,0
9993177,Clyde Edwards-Helaire,https://dynastyleaguefootball.com/player/9993177/Clyde_Edwards-Helaire,RB,2021,KC,10,342,50.3,119,517,4,23,19,129,2,2
9993177,Clyde Edwards-Helaire,https://dynastyleaguefootball.com/player/9993177/Clyde_Edwards-Helaire,RB,2022,KC,10,224,32.0,71,302,3,23,17,151,3,0
9993227,Kenneth Gainwell,https://dynastyleaguefootball.com/player/9993227/Kenneth_Gainwell,RB,2021,PHI,15,259,26.4,56,213,4,43,29,244,1,1
9993227,Kenneth Gainwell,https://dynastyleaguefootball.com/player/9993227/Kenneth_Gainwell,RB,2022,PHI,16,311,28.2,48,205,4,28,22,162,0,0
9994023,Jaylen Warren,https://dynastyleaguefootball.com/player/9994023/Jaylen_Warren,RB,2022,PIT,15,311,30.6,71,343,1,29,25,207,0,0
9991792,D'Onta Foreman,https://dynastyleaguefootball.com/player/9991792/DOnta_Foreman,RB,2017,HOU,9,146,22.8,78,327,2,8,6,83,0,1
